artist_id,name,genres,popularity,followers,image_url,url
1OnnVNvbz0OsApDXHUX2bM,Phí Phương Anh,['v-pop'],41,40740,https://i.scdn.co/image/ab6761610000e5ebc83cdeaef9edd1301538fc00,https://open.spotify.com/artist/1OnnVNvbz0OsApDXHUX2bM
7Cp2hGcriAaDUAWpXnSEwm,buitruonglinh,"['indie viet', 'v-pop']",55,401466,https://i.scdn.co/image/ab6761610000e5eb6fa9203f46889b95e081d2ec,https://open.spotify.com/artist/7Cp2hGcriAaDUAWpXnSEwm
3EPkqJFzEGSJWtGsu1Xwqt,Kay Trần,"['v-pop', 'vietnamese hip hop']",45,93986,https://i.scdn.co/image/ab6761610000e5ebb182f76a2211e3ace1e24764,https://open.spotify.com/artist/3EPkqJFzEGSJWtGsu1Xwqt
2BoU3GzyaG397l5ci1twa9,Shartnuss,['viet chill rap'],44,2782,https://i.scdn.co/image/ab6761610000e5ebffa4194a6e0abfb403af3a53,https://open.spotify.com/artist/2BoU3GzyaG397l5ci1twa9
57g2v7gJZepcwsuwssIfZs,Vũ.,"['indie viet', 'rock viet', 'v-pop', 'vietnamese singer-songwriter']",59,2029791,https://i.scdn.co/image/ab6761610000e5eb05dfcbe06dcf1fd031b02aa8,https://open.spotify.com/artist/57g2v7gJZepcwsuwssIfZs
1nX1HVIUo1Zfs3e2v3lFb9,Changg,['v-pop'],47,139852,https://i.scdn.co/image/ab6761610000e5eb0b844603bdca767ef4346616,https://open.spotify.com/artist/1nX1HVIUo1Zfs3e2v3lFb9
1zSv9qZANOWB4HRE8sxeTL,RPT MCK,"['vietnamese hip hop', 'vietnamese melodic rap', 'vietnamese trap']",61,991990,https://i.scdn.co/image/ab6761610000e5ebb97791c136d7354ad7792555,https://open.spotify.com/artist/1zSv9qZANOWB4HRE8sxeTL
4bPYvyUn1mWwUwIW57oST2,Emcee L (Da LAB),"['v-pop', 'vietnamese hip hop']",52,156972,https://i.scdn.co/image/ab6761610000e5eb92dc4a2cbffbddb59f825fe0,https://open.spotify.com/artist/4bPYvyUn1mWwUwIW57oST2
2dC1IBU9NOD9xsQJ5RE7j7,Puppy,['viet chill rap'],43,5164,https://i.scdn.co/image/ab6761610000e5eb12b2ad3bacec1ca71265fba9,https://open.spotify.com/artist/2dC1IBU9NOD9xsQJ5RE7j7
0ZbgKh0FgPYeFP38nVaEGp,Obito,"['v-pop', 'vietnamese hip hop', 'vietnamese melodic rap']",61,589936,https://i.scdn.co/image/ab6761610000e5eba385bd3e0f67945f277792c2,https://open.spotify.com/artist/0ZbgKh0FgPYeFP38nVaEGp
6jRD85dsXJYn5vv73rqSGi,Chi Pu,['v-pop'],43,361382,https://i.scdn.co/image/ab6761610000e5eb3480e1a8139ca133142f53b5,https://open.spotify.com/artist/6jRD85dsXJYn5vv73rqSGi
54gIDmy6EgICaX1Uiez1iC,DMT,[],45,3469,https://i.scdn.co/image/ab6761610000e5ebebd603b178063f0dfc36d2e0,https://open.spotify.com/artist/54gIDmy6EgICaX1Uiez1iC
5HZtdKfC4xU0wvhEyYDWiY,HIEUTHUHAI,"['v-pop', 'vietnamese hip hop']",63,1350013,https://i.scdn.co/image/ab6761610000e5ebe1cbc9e7ba8fbc5d7738ea51,https://open.spotify.com/artist/5HZtdKfC4xU0wvhEyYDWiY
4x1fUORHa2EsxrQ6ZzAoQ0,SUNI Hạ Linh,['v-pop'],51,291807,https://i.scdn.co/image/ab6761610000e5ebad1569e5633b6b9b2e3cc27b,https://open.spotify.com/artist/4x1fUORHa2EsxrQ6ZzAoQ0
5dfZ5uSmzR7VQK0udbAVpf,Sơn Tùng M-TP,"['v-pop', 'vietnamese idol pop', 'vietnamese melodic rap']",65,5549973,https://i.scdn.co/image/ab6761610000e5eb5a79a6ca8c60e4ec1440be53,https://open.spotify.com/artist/5dfZ5uSmzR7VQK0udbAVpf
0dBcEvEklr1jx4uZuhFX5e,Ronboogz,[],58,160232,https://i.scdn.co/image/ab6761610000e5eb8de0c8ed480aabd579520b48,https://open.spotify.com/artist/0dBcEvEklr1jx4uZuhFX5e
7idMddC7XksYOUjJRzN1yA,Kevindauroi,[],38,690,https://i.scdn.co/image/ab6761610000e5ebd94b4328a22ee9d09ccc730a,https://open.spotify.com/artist/7idMddC7XksYOUjJRzN1yA
57g2v7gJZepcwsuwssIfZs,Vũ.,"['indie viet', 'rock viet', 'v-pop', 'vietnamese singer-songwriter']",59,2029791,https://i.scdn.co/image/ab6761610000e5eb05dfcbe06dcf1fd031b02aa8,https://open.spotify.com/artist/57g2v7gJZepcwsuwssIfZs
30eFAXoU2kTjJPf2cq80B8,WEAN,"['v-pop', 'vietnamese hip hop', 'vietnamese melodic rap']",54,255674,https://i.scdn.co/image/ab6761610000e5eb1e980099699211bd0dd694ad,https://open.spotify.com/artist/30eFAXoU2kTjJPf2cq80B8
3E6LGptA8lBEXPHAQCE3vr,Kai Đinh,"['v-pop', 'viet lo-fi']",54,63347,https://i.scdn.co/image/ab6761610000e5eb0e9332b18b3214c0295385a4,https://open.spotify.com/artist/3E6LGptA8lBEXPHAQCE3vr
2knyDFP4xw9wZEWA98JX6b,TRANG,"['indie viet', 'v-pop', 'vietnamese singer-songwriter']",49,126829,https://i.scdn.co/image/ab6761610000e5ebe28057e8f67ce8071d58bb35,https://open.spotify.com/artist/2knyDFP4xw9wZEWA98JX6b
5M3ffmRiOX9Q8Y4jNeR5wu,Wren Evans,"['v-pop', 'vietnamese hip hop', 'vietnamese melodic rap']",60,450142,https://i.scdn.co/image/ab6761610000e5eb10e658dffbc09c792ad3969c,https://open.spotify.com/artist/5M3ffmRiOX9Q8Y4jNeR5wu
30eFAXoU2kTjJPf2cq80B8,WEAN,"['v-pop', 'vietnamese hip hop', 'vietnamese melodic rap']",54,255674,https://i.scdn.co/image/ab6761610000e5eb1e980099699211bd0dd694ad,https://open.spotify.com/artist/30eFAXoU2kTjJPf2cq80B8
5HZtdKfC4xU0wvhEyYDWiY,HIEUTHUHAI,"['v-pop', 'vietnamese hip hop']",63,1350013,https://i.scdn.co/image/ab6761610000e5ebe1cbc9e7ba8fbc5d7738ea51,https://open.spotify.com/artist/5HZtdKfC4xU0wvhEyYDWiY
1W2pigH6UYwuTuFbwoSfVZ,RHYDER,[],57,164764,https://i.scdn.co/image/ab6761610000e5eb7930fac4aae6d581d9f49e1b,https://open.spotify.com/artist/1W2pigH6UYwuTuFbwoSfVZ
5Kh0ta0UY4uJ4g2CIdq9V9,Phương Ly,['v-pop'],55,502716,https://i.scdn.co/image/ab6761610000e5eb98e5b6fa1349f9b48129ce98,https://open.spotify.com/artist/5Kh0ta0UY4uJ4g2CIdq9V9
3FwYnbtGNt8hJfjNuOfpeG,Hà Anh Tuấn,['v-pop'],50,1176874,https://i.scdn.co/image/ab6761610000e5ebe790217ff9f7f2922524b93e,https://open.spotify.com/artist/3FwYnbtGNt8hJfjNuOfpeG
3E6LGptA8lBEXPHAQCE3vr,Kai Đinh,"['v-pop', 'viet lo-fi']",54,63347,https://i.scdn.co/image/ab6761610000e5eb0e9332b18b3214c0295385a4,https://open.spotify.com/artist/3E6LGptA8lBEXPHAQCE3vr
6q7zgDxCtOdvzKnTK6Er4x,Nguyễn Minh Xuân Ái,['viet chill rap'],39,1480,https://i.scdn.co/image/ab6761610000e5ebf0d0e1fd0c245b2996729128,https://open.spotify.com/artist/6q7zgDxCtOdvzKnTK6Er4x
70ULEgr5A3zBL12foM4bnj,Vũ Phụng Tiên,['v-pop'],49,30154,https://i.scdn.co/image/ab6761610000e5ebc5db34d157c879b2e627303c,https://open.spotify.com/artist/70ULEgr5A3zBL12foM4bnj
2Bwp23pD4UVsSkchHDZw4F,Karik,"['v-pop', 'vietnamese hip hop']",53,386986,https://i.scdn.co/image/ab6761610000e5eb2ef6756afdf74f9b7e3a1861,https://open.spotify.com/artist/2Bwp23pD4UVsSkchHDZw4F
2Gvp79Cmni6PX13CAlSGex,Bùi Anh Tuấn,['v-pop'],50,280338,https://i.scdn.co/image/ab6761610000e5ebf2db4875c81f4d103aefc81a,https://open.spotify.com/artist/2Gvp79Cmni6PX13CAlSGex
1dwfi5uS5pfQMhAic73Q7L,The Masked Singer,[],53,167192,https://i.scdn.co/image/ab6761610000e5eb7438c02cbeee407d99b4db43,https://open.spotify.com/artist/1dwfi5uS5pfQMhAic73Q7L
5M3ffmRiOX9Q8Y4jNeR5wu,Wren Evans,"['v-pop', 'vietnamese hip hop', 'vietnamese melodic rap']",60,450142,https://i.scdn.co/image/ab6761610000e5eb10e658dffbc09c792ad3969c,https://open.spotify.com/artist/5M3ffmRiOX9Q8Y4jNeR5wu
5SdxHHfstcRfGIxOw1ghSN,GUrbane,[],38,1633,https://i.scdn.co/image/ab6761610000e5eb1a15dbe393996a37a38cfc05,https://open.spotify.com/artist/5SdxHHfstcRfGIxOw1ghSN
3Tehj7YghQc7zH0I1faGc6,BigDaddy,"['v-pop', 'vietnamese hip hop']",51,196355,https://i.scdn.co/image/ab6761610000e5ebeb864b5f2426b9a60b0003f3,https://open.spotify.com/artist/3Tehj7YghQc7zH0I1faGc6
63SNH9m8M034lCGELVC1dm,Văn Mai Hương,['v-pop'],48,420849,https://i.scdn.co/image/ab6761610000e5eb449f96a16500b2b75e1c9234,https://open.spotify.com/artist/63SNH9m8M034lCGELVC1dm
2xK6qcvfXuFFbU0NL95aeo,Thịnh Suy,"['v-pop', 'vietnamese singer-songwriter']",55,664639,https://i.scdn.co/image/ab6761610000e5eb34dca195e6f7b02580155565,https://open.spotify.com/artist/2xK6qcvfXuFFbU0NL95aeo
7LLfmKhGZI11XO0dO4xDI7,Anh Tú,['v-pop'],49,154006,https://i.scdn.co/image/ab6761610000e5eb653268b19c265e835504190e,https://open.spotify.com/artist/7LLfmKhGZI11XO0dO4xDI7
6NF9Oa4ThQWCj6mogFSrVD,W/N,"['indie viet', 'v-pop']",57,1226266,https://i.scdn.co/image/ab6761610000e5eb316c0f0bc6cf3a29c203ab1e,https://open.spotify.com/artist/6NF9Oa4ThQWCj6mogFSrVD
6d0dLenjy5CnR5ZMn2agiV,GREY D,['v-pop'],61,327417,https://i.scdn.co/image/ab6761610000e5ebd23b0ac7f33678be5753e1f5,https://open.spotify.com/artist/6d0dLenjy5CnR5ZMn2agiV
1dwfi5uS5pfQMhAic73Q7L,The Masked Singer,[],53,167192,https://i.scdn.co/image/ab6761610000e5eb7438c02cbeee407d99b4db43,https://open.spotify.com/artist/1dwfi5uS5pfQMhAic73Q7L
