artist,release_date,added_at,track_name,duration_ms,track_id,artist_id
Chi Pu,2024-05-23,2024-07-31T00:44:59Z,Finding You,191000,0g7d8Y9Y2BP8qFZDzngnSz,6jRD85dsXJYn5vv73rqSGi
DMT,2024-02-05,2024-07-31T00:44:59Z,Ổ Quỷ,178924,5WIKVELHZYJ4vl3x3xlbZD,54gIDmy6EgICaX1Uiez1iC
HIEUTHUHAI,2021-07-09,2024-07-31T00:44:59Z,Nghe Như Tình Yêu,193049,769IjpjHNrN36SPvj2ZBKu,5HZtdKfC4xU0wvhEyYDWiY
SUNI Hạ Linh,2022-07-24,2024-07-31T00:44:59Z,có hẹn với thanh xuân,222000,2qWP5ZarXRsdmxzz3L3BtP,4x1fUORHa2EsxrQ6ZzAoQ0
Sơn Tùng M-TP,2024-03-08,2024-07-31T00:44:59Z,Chúng Ta Của Tương Lai,249871,3qhYidu0cemx1v9PgTtpS5,5dfZ5uSmzR7VQK0udbAVpf
Ronboogz,2023-03-25,2024-07-31T00:44:59Z,Lan Man,216220,3hqOrxH5qPlvrApcb7Ac8c,0dBcEvEklr1jx4uZuhFX5e
Kevindauroi,2024-06-23,2024-07-31T00:44:59Z,Đừng Xa Anh Nhé (feat. Harvey),230736,4jWxeq0IpdNhEaBzkNNwTf,7idMddC7XksYOUjJRzN1yA
Vũ.,2024-03-14,2024-07-31T00:44:59Z,Dành Hết Xuân Thì Để Chờ Nhau,288380,2ddbldKhKrYvOBbYa87cbj,57g2v7gJZepcwsuwssIfZs
WEAN,2023-06-09,2024-07-31T00:44:59Z,BADBYE,202966,78lw4wahFNotXb0mOEtPkM,30eFAXoU2kTjJPf2cq80B8
Kai Đinh,2023-12-18,2024-07-31T00:44:59Z,Trái đất ôm Mặt trời,194703,4NTanSVXBkQ2NmDEbr2vLE,3E6LGptA8lBEXPHAQCE3vr
TRANG,2022-06-18,2024-07-31T00:44:59Z,Chưa Được Yêu Như Thế,254000,3Ndroo5HpBKKTRGYReAYHM,2knyDFP4xw9wZEWA98JX6b
Wren Evans,2023-10-25,2024-07-31T00:44:59Z,Từng Quen,174545,3un8UkiPHJjlsrTHQnisXH,5M3ffmRiOX9Q8Y4jNeR5wu
WEAN,2023-10-07,2024-07-31T00:44:59Z,shhhhhhh..,230675,4jWmhzf53Q0ZvZMuGdiR9x,30eFAXoU2kTjJPf2cq80B8
HIEUTHUHAI,2023-04-19,2024-07-31T00:44:59Z,Không Thể Say,228413,4W2poMwGzKQHtpNCthoGhC,5HZtdKfC4xU0wvhEyYDWiY
RHYDER,2023-11-22,2024-07-31T00:44:59Z,Chịu Cách Mình Nói Thua,181558,3ZbZtdEw9U0uZW4tZItIwq,1W2pigH6UYwuTuFbwoSfVZ
Phương Ly,2023-10-05,2024-07-31T00:44:59Z,Anh Là Ngoại Lệ Của Em,188108,6KgZf5gZgF1KLNxq1qZgHP,5Kh0ta0UY4uJ4g2CIdq9V9
Hà Anh Tuấn,2021-06-01,2024-07-31T00:44:59Z,Tháng Tư Là Lời Nói Dối Của Em,310066,53zusvCJkyGYjEZ6bnLIjh,3FwYnbtGNt8hJfjNuOfpeG
Kai Đinh,2024-07-01,2024-07-31T00:44:59Z,lâu phai,214805,6cExegHWCsbqWWTR6aR3sY,3E6LGptA8lBEXPHAQCE3vr
Nguyễn Minh Xuân Ái,2021,2024-07-31T00:44:59Z,Là Từ Lúc,266657,1fgzQI6AtswiR0JMXulldH,6q7zgDxCtOdvzKnTK6Er4x
Vũ Phụng Tiên,2023-09-20,2024-07-31T00:44:59Z,Lệ Lưu Ly,200842,2JuHIbFudHwDqQssgqsH3i,70ULEgr5A3zBL12foM4bnj
Karik,2023-10-04,2024-07-31T00:44:59Z,Bạn Đời,300718,0kHgteR4TV4LO80wrasDSR,2Bwp23pD4UVsSkchHDZw4F
Bùi Anh Tuấn,2024-03-04,2024-07-31T00:44:59Z,"Hẹn Một Mai - From"" 4 Năm 2 Chàng 1 Tình Yêu""",259915,5BJqg07SKgmFnVLOBmLFvq,2Gvp79Cmni6PX13CAlSGex
The Masked Singer,2023-11-05,2024-07-31T00:44:59Z,Khóa Ly Biệt (feat. Voi Bản Đôn),312000,3BlB5wlzdbgCJGkuPcNVIW,1dwfi5uS5pfQMhAic73Q7L
Wren Evans,2023-12-17,2024-07-31T00:44:59Z,Phóng Đổ Tim Em,134267,2kauMp3YNHXULGXyJh4321,5M3ffmRiOX9Q8Y4jNeR5wu
GUrbane,2024-05-25,2024-07-31T00:44:59Z,Da Key,178285,1w1zYOYYyX45UMnn0LMHdI,5SdxHHfstcRfGIxOw1ghSN
BigDaddy,2023-08-03,2024-07-31T00:44:59Z,Ngõ Chạm,232173,0Qs29ApstkrU5T8S5Hxazw,3Tehj7YghQc7zH0I1faGc6
Văn Mai Hương,2023-05-24,2024-07-31T00:44:59Z,Mưa Tháng Sáu,257142,23SUnSd024ACX7u1AUXsGc,63SNH9m8M034lCGELVC1dm
Thịnh Suy,2019-12-20,2024-07-31T00:44:59Z,Mai Mình Xa,189335,4nwdFVU1yT5j9zTaTv1rxk,2xK6qcvfXuFFbU0NL95aeo
Anh Tú,2024-01-10,2024-07-31T00:44:59Z,Hoàng Hôn Nhớ - Hoa Vương Original SoundTrack,344000,3lgCCIj5kUu8IAbJarm9oz,7LLfmKhGZI11XO0dO4xDI7
W/N,2023-07-31,2024-07-31T00:44:59Z,id 072019,271704,1o6cYDMHvKOfizi4d9Lqxr,6NF9Oa4ThQWCj6mogFSrVD
GREY D,2022-06-20,2024-07-31T00:44:59Z,vaicaunoicokhiennguoithaydoi,225862,25h0TqC9H3BcMA7KjK5nHK,6d0dLenjy5CnR5ZMn2agiV
The Masked Singer,2023-08-13,2024-07-31T00:44:59Z,Ngày Mai Người Ta Lấy Chồng (feat. Voi Bản Đôn),317408,2Npr9vbXuQYcpnsouBIrHU,1dwfi5uS5pfQMhAic73Q7L
Ronboogz,2023-12-12,2024-07-31T00:44:59Z,nhắn nhủ,241190,2uZmeuNAxSm7XfVIwLkhCx,0dBcEvEklr1jx4uZuhFX5e
Obito,2023-10-10,2024-07-31T00:44:59Z,Tell the kids i love them (ft. Shiki),224175,2UtFCtiSoc30GJ4MUcHDKr,0ZbgKh0FgPYeFP38nVaEGp
D.Kies,2023-10-28,2024-07-31T00:44:59Z,Chỉ cần được ngồi đây với em,207201,2ZsuL7UkkeRfcS6FgBLLHl,5NieebgCXvb8TUaUsO29L3
GREY D,2023-04-24,2024-07-31T00:44:59Z,đưa em về nhàa,240000,08ULi904W2Po6pVj8nN7KC,6d0dLenjy5CnR5ZMn2agiV
GREY D,2022-07-24,2024-07-31T00:44:59Z,lời tạm biệt chưa nói,259114,3AejRjgBsFV4HWHjJmmEP7,6d0dLenjy5CnR5ZMn2agiV
Trungg I.U,2024-01-10,2024-07-31T00:44:59Z,Thuyền Không Bến Đợi (feat. Czee),335022,4H2C2CDs2QrO9xuStligzF,6Ue0BbbTOdBjcO4QZB5sio
RPT MCK,2023-03-02,2024-07-31T00:44:59Z,Anh Đã Ổn Hơn,194005,3YctJXK6kznnWl68TnYobN,1zSv9qZANOWB4HRE8sxeTL
Trung Tu,2024-06-25,2024-07-31T00:44:59Z,Vừa Hận Vừa Yêu,157239,1oVbTGLd8EgyeWBoqAYBD0,6NmGVS8nPcqW6tnevWF3Zg
Hà Nhi,2023-06-30,2024-07-31T00:44:59Z,Vì Em Chưa Bao Giờ Khóc,267692,4CKGjLQYTZv9S1eDuUG7DG,3XOuN4VDN4EL0GjKov5mWL
RPT MCK,2023-03-02,2024-07-31T00:44:59Z,Chỉ Một Đêm Nữa Thôi,141760,28bxbqNcAuNxYDZYet6eZ7,1zSv9qZANOWB4HRE8sxeTL
